gene_id	EV_4	DNMT3B_4	DNMT3B_2	EV_3	DNMT3B_3
YBL052C	156	155	162	205	156
YBL053W	42	45	40	46	41
YBL054W	219	367	440	426	364
YBL055C	227	292	439	336	354
YBL056W	1426	1605	1775	1403	1726
YBL057C	191	230	320	304	268
YBL058W	2320	1943	1640	1975	1955
YBL059C-A	385	408	288	319	388
YBL059W	99	133	146	103	126
YBL060W	180	175	174	235	176
YBL061C	231	254	367	287	277
YBL062W	87	91	112	109	89
YBL063W	52	88	100	71	104
YBL064C	6205	4743	2990	4034	3788
YBL065W	33	27	24	28	19
YBL066C	407	411	357	393	389
YBL067C	341	457	671	476	510
YBL068W	204	242	311	311	281
YBL068W-A	0	0	0	0	0
YBL069W	132	444	334	390	277
YBL070C	15	38	35	40	33
YBL071C	118	95	148	263	128
YBL071C-B	4	4	3	3	5
YBL071W-A	173	158	185	328	166
YBL072C	438	1062	1665	1131	1308
YBL073W	9	6	3	5	7
YBL074C	39	53	56	53	53
YBL075C	12975	5287	2630	5663	3624
YBL076C	1149	1226	1615	2497	1391
YBL077W	256	255	324	557	306
YBL078C	2121	1464	1360	1567	1400
YBL079W	217	272	293	274	303
YBL080C	170	189	190	178	192
YBL081W	49	79	139	72	118
YBL082C	55	93	152	96	113
YBL083C	0	0	1	0	0
YBL084C	518	455	520	563	459
YBL085W	443	389	422	445	401
YBL086C	1128	753	835	1341	947
YBL087C	360	756	1061	766	975
YBL088C	261	306	263	256	286
YBL089W	247	159	276	281	198
YBL090W	430	504	380	435	545
YBL091C	1129	1089	1115	1045	1151
YBL091C-A	374	279	269	365	249
YBL092W	1417	2822	4300	3181	3583
YBL093C	424	439	615	619	580
YBL094C	688	297	365	878	380
YBL095W	1311	538	711	1727	637
YBL096C	175	74	84	191	79
YBL097W	5	21	29	19	34
YBL098W	388	206	708	815	391
YBL099W	10578	10521	5881	6194	8584
YBL100C	839	890	603	590	837
YBL100W-A	0	0	0	0	0
YBL100W-B	0	0	0	0	0
YBL100W-C	7	3	6	3	6
YBL101C	606	530	835	1305	679
YBL102W	1397	910	933	1728	890
YBL103C	463	282	474	860	416
YBL104C	160	121	144	144	131
YBL105C	643	644	685	666	701
YBL106C	223	254	208	247	212
YBL107C	217	372	379	275	372
YBL107W-A	0	0	0	0	0
YBL108C-A	0	0	0	0	0
YBL108W	1	0	5	2	0
YBL109W	4	2	1	2	4
YBL111C	0	0	0	0	1
YBL112C	0	0	0	0	0
YBL113C	126	94	112	163	113
YBL113W-A	70	49	70	83	69
YBR001C	1018	773	866	1209	1018
YBR002C	100	139	150	167	136
YBR003W	574	635	573	544	655
YBR004C	180	371	448	271	398
YBR005W	476	451	803	696	649
YBR006W	1542	1333	1195	1418	1276
YBR007C	122	142	217	218	163
YBR008C	409	497	393	368	482
YBR009C	3193	2296	2702	2810	2547
YBR010W	6492	4620	4728	5346	4406
YBR011C	2282	2232	3556	2451	2850
YBR012C	0	0	0	0	0
YBR012W-A	0	0	0	0	0
YBR012W-B	0	0	0	0	0
YBR013C	0	0	0	0	0
YBR014C	316	342	305	246	285
YBR015C	530	597	777	596	744
YBR016W	638	321	581	789	492
YBR017C	175	242	289	212	251
YBR018C	3684	13358	6096	2899	9311
YBR019C	45838	74121	44942	36714	66006
YBR020W	40356	65922	31931	25329	50182
YBR021W	180	292	233	177	211
YBR022W	133	156	165	147	174
YBR023C	265	264	631	314	432
YBR024W	676	642	454	527	585
YBR025C	1139	2126	2264	1867	2204
YBR026C	3698	3079	2239	3017	2899
YBR027C	20	7	12	13	13
YBR028C	164	215	291	345	279
YBR029C	228	370	633	345	530
YBR030W	36	57	124	59	70
YBR031W	468	1066	1436	1130	1280
YBR032W	17	12	8	15	11
YBR033W	1521	920	456	1075	720
YBR034C	234	319	377	219	309
YBR035C	2047	1256	1434	2755	1408
YBR036C	2451	2368	2946	2444	2631
YBR037C	467	534	433	485	535
YBR038W	110	206	437	145	325
YBR039W	3086	4046	2469	1903	3322
YBR040W	12	4	51	43	11
YBR041W	541	510	675	530	563
YBR042C	126	148	149	116	172
YBR043C	282	258	448	530	351
YBR044C	360	269	252	368	262
YBR045C	357	158	182	389	169
YBR046C	2456	1146	935	3351	1165
YBR047W	815	247	216	1429	269
YBR048W	362	844	1282	872	1095
YBR049C	324	278	435	389	445
YBR050C	339	380	579	613	599
YBR051W	63	75	118	116	103
YBR052C	2093	1765	1616	1786	1833
YBR053C	1478	916	859	1152	983
YBR054W	21025	29407	13441	16798	15869
YBR055C	208	229	201	221	221
YBR056C-B	139	239	810	218	367
YBR056W	2785	1856	1804	2177	1966
YBR056W-A	363	483	1701	400	780
YBR057C	534	419	650	557	580
YBR058C	279	319	404	405	393
YBR058C-A	293	299	392	456	370
YBR059C	930	735	866	920	828
YBR060C	110	114	131	107	137
YBR061C	104	128	170	129	143
YBR062C	556	544	469	486	489
YBR063C	279	221	205	327	213
YBR064W	48	39	38	64	39
YBR065C	112	91	140	173	114
YBR066C	58	59	543	244	320
YBR067C	533	3668	9147	2925	8344
YBR068C	22354	5280	7066	25959	6327
YBR069C	202	215	605	708	487
YBR070C	64	63	160	116	141
YBR071W	973	1073	1584	966	1512
YBR072C-A	7	3	2	4	5
YBR072W	100288	77203	23191	46312	45801
YBR073W	197	280	376	314	419
YBR074W	247	246	290	253	255
YBR076C-A	123	113	157	227	112
YBR076W	268	179	274	548	172
YBR077C	417	280	378	538	371
YBR078W	2509	4738	10140	4286	8105
YBR079C	570	1249	1489	928	1520
YBR080C	395	388	565	469	503
YBR081C	396	232	228	490	256
YBR082C	1142	1417	1441	1082	1312
YBR083W	595	378	1677	1251	814
YBR084C-A	1378	2356	3047	2709	2807
YBR084W	99	224	426	187	351
YBR085C-A	5210	5012	5270	5999	5241
YBR085W	5	17	13	8	15
YBR086C	3117	2377	2025	2438	2286
YBR087W	58	99	154	118	163
YBR088C	108	151	413	170	297
YBR089C-A	747	531	514	647	541
YBR089W	67	103	327	121	234
YBR090C	81	54	39	96	50
YBR091C	44	56	67	59	86
YBR092C	210	943	1031	477	1188
YBR093C	219	174	364	339	279
YBR094W	424	319	306	405	341
YBR095C	304	311	454	374	394
YBR096W	280	255	379	344	288
YBR097W	114	165	144	116	144
YBR098W	178	168	143	187	177
YBR099C	44	41	32	35	38
YBR101C	584	900	626	594	721
YBR102C	219	229	246	226	249
