gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YBR047W	596.378890490153	-2.22844492523691	0.27804559067422	-8.01467457129334	1.10429010469001e-15	3.17935160141205e-13
YLR312C	1529.30602721204	-1.46280826121734	0.184877998121964	-7.91228959679848	2.52697719607193e-15	6.95907546083462e-13
YIL121W	432.531171432445	-1.75789662762211	0.224896280939667	-7.81647709013785	5.43221991472995e-15	1.43365337249581e-12
YCL048W-A	536.154057238935	-1.8152424343344	0.233938826378087	-7.75947482698166	8.5281790473985e-15	2.16069944344888e-12
YDR158W	6504.22810610709	-1.93431995758882	0.256201511708988	-7.54999431769925	4.35277232511318e-14	1.06040230412565e-11
YDR015C	55.8208045310591	3.73254872952455	0.499285070320111	7.47578678275211	7.67433001236688e-14	1.80034097401229e-11
YMR101C	84.0715548247619	2.83828191067374	0.382543580325276	7.4194995201863	1.17563726169659e-13	2.65945943413793e-11
YER073W	2073.68294121221	-2.32483203166729	0.315820057348004	-7.36125517546072	1.82188912335522e-13	3.97925714045931e-11
YBL095W	987.719307055447	-1.33110324859163	0.181730940775668	-7.32458239037441	2.39643796204721e-13	5.05967935053567e-11
YOR376W	111.872807284341	-1.82318227385297	0.252949582005847	-7.20769039978418	5.69088365906941e-13	1.16277603537244e-10
YLR164W	851.840847750962	-2.15120333834462	0.300310211446704	-7.16327069925955	7.87745768894762e-13	1.52194159471998e-10
YOL047C	190.51737715954	-1.94924109406129	0.272150212096421	-7.16237212914863	7.92928206911262e-13	1.52194159471998e-10
YNL072W	288.618616901589	-1.40755198748269	0.197077729604742	-7.14211590678291	9.19050477878642e-13	1.71213697849509e-10
YFR030W	813.99333515117	-2.14514959862981	0.305699900414223	-7.01717467268763	2.26399509243526e-12	4.09718426156712e-10
YOR161C	1606.41439735283	-1.40141710129809	0.200665691802999	-6.98384008101351	2.87218990768702e-12	5.05345857646933e-10
YJL025W	223.911048312547	-1.71073097061294	0.24671387224637	-6.93406882651734	4.08905549388131e-12	7.0000209454714e-10
YMR107W	11598.3568643413	-1.74088648733409	0.253641738828494	-6.86356470892685	6.71630797961724e-12	1.11950249323409e-09
YLR290C	565.386591700007	-1.30411711710549	0.19146723580217	-6.81117639601241	9.68038449164796e-12	1.57219372743841e-09
YKL121W	687.763764914793	-1.2506511902762	0.185616056671399	-6.73783945583038	1.60759047285101e-11	2.54561951375958e-09
YGR088W	8175.91494338289	-2.01591846826368	0.303890249537898	-6.63370565962259	3.27362316173777e-11	5.05734856254806e-09
YJL163C	1232.28338913381	-1.32715036834353	0.200378636061429	-6.62321290547497	3.51474210115276e-11	5.30056582588133e-09
YJR016C	12458.2519407889	-1.87125473648264	0.284870628840673	-6.56878788837588	5.07264818048974e-11	7.47212873842373e-09
YGR154C	455.267630255023	-1.50877527500994	0.231662111680667	-6.51282708278899	7.37493928137094e-11	1.06165603200463e-08
YOR198C	579.023277474041	1.50504194511115	0.232789696436441	6.46524295598311	1.01136182592524e-10	1.42209936194477e-08
